scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020985,0.187326,0.0000,0,90.50,100.50,-1.00,0.0
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.073133,0.912455,0.5667,0,100.50,100.50,395.10,0.0
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.030609,0.370642,0.0000,0,90.50,110.50,-1.00,0.0
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.427096,2.286603,11.0333,0,90.50,100.50,455.10,0.0
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.303263,2.466968,6.7333,0,90.50,100.50,320.10,0.0
aguard,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051398,0.674417,0.0000,0,100.50,100.50,305.10,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,0,0.024713,0.187482,0.0000,0,90.50,105.50,-1.00,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,1,0.036873,0.233405,0.0000,0,90.50,110.50,-1.00,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,2,0.088582,0.844053,0.9333,0,100.50,120.50,330.10,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,3,0.025636,0.299843,0.0000,0,100.50,105.50,-1.00,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,4,0.426490,2.286419,11.0000,0,105.50,105.50,455.10,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,5,0.527951,2.618385,13.4667,0,90.50,105.50,435.10,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,6,0.027924,0.188666,0.0000,0,95.50,105.50,-1.00,0.0
aguard,v10,8,3,worst,kill,-1.00,0,30.000,1500,7,0.018313,0.174006,0.0000,0,100.50,105.50,-1.00,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.033678,0.181410,0.0000,0,105.50,105.50,-1.00,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040600,0.197187,0.0000,0,95.50,110.50,-1.00,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.047068,0.276382,0.0000,0,100.50,120.50,-1.00,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.040360,0.916870,0.0000,0,95.50,110.50,365.10,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033515,0.318060,0.0000,0,105.50,120.50,-1.00,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.428491,2.267686,11.0333,0,90.50,125.50,455.10,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.471580,2.415861,11.9667,0,105.50,105.50,450.10,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.059170,0.764622,0.0000,0,105.50,110.50,415.10,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.066742,0.989417,0.8667,0,105.50,105.50,245.10,0.0
aguard,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.025580,0.198545,0.0000,0,95.50,115.50,-1.00,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,0,0.116126,0.350904,0.0000,0,980.50,1000.50,-1.00,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,1,0.141303,0.692866,0.5333,0,1670.50,1690.50,-1.00,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,2,0.086814,0.894245,0.5667,0,1060.50,1080.50,395.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,3,0.105119,0.843263,0.9000,0,600.50,620.50,330.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,4,0.084209,0.643388,0.7000,0,805.50,820.50,-1.00,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,5,0.224374,1.805107,3.2667,0,970.50,990.50,480.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,6,0.480959,2.118229,10.9333,0,1010.50,1025.50,455.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,7,0.746241,3.178370,16.8667,0,805.50,825.50,405.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,8,0.286643,2.042401,5.6333,0,1220.50,1240.50,375.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,9,0.135239,0.409910,0.0000,0,680.50,700.50,-1.00,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,10,0.181015,0.667377,0.0000,0,570.50,590.50,305.10,0.0
aguard,v10,12,3,worst,kill,-1.00,0,30.000,12004,11,0.177022,0.556566,0.0000,0,690.50,710.50,-1.00,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,0,1.002085,2.608597,22.9667,0,1015.50,1035.50,395.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,1,0.699154,2.524073,18.5333,0,1150.50,1170.50,410.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,2,0.580021,2.186485,13.2333,0,1595.50,1615.50,395.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,3,0.546102,1.525885,13.9000,0,2399.90,2419.90,415.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,4,0.609438,2.863932,10.6000,0,760.50,780.50,395.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,5,0.560435,1.478952,10.8667,0,1110.50,1130.50,415.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,6,0.887954,2.947440,19.5333,0,1085.50,1105.50,395.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,7,0.967304,2.568806,21.8000,0,970.50,990.50,395.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,8,1.055745,3.289395,25.8333,0,820.50,845.50,380.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,9,1.090672,2.861334,29.4000,0,830.50,850.50,385.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,10,0.936828,2.463935,24.5000,0,1520.50,1540.50,380.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,11,0.843465,2.752781,22.3000,0,1840.50,1860.50,390.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,12,1.011463,2.415205,26.6000,0,1810.50,1830.50,400.10,0.0
aguard,v10,14,3,worst,kill,-1.00,0,30.000,27042,13,0.944393,2.862695,25.6000,0,1255.50,1285.50,400.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,0,2.214961,3.874795,51.8000,0,965.50,985.50,325.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,1,2.095406,4.408472,49.9333,0,1040.50,1060.50,340.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,2,1.733202,3.676156,42.9000,0,2095.50,2115.50,345.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,3,2.143594,3.893983,49.5333,0,905.50,925.50,375.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,4,2.093082,3.926694,49.8000,0,1180.50,1180.50,330.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,5,1.884052,3.687920,46.5333,0,2170.50,2230.50,220.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,6,2.129135,4.301053,48.2667,0,1155.50,1175.50,395.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,7,2.148292,4.808407,50.1333,0,1130.50,1150.50,380.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,8,2.325353,4.891886,49.6333,0,1650.50,1670.50,270.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,9,2.377046,4.186468,52.2667,0,1100.50,1130.50,330.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,10,2.361478,3.616428,58.7333,0,980.50,980.50,390.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,11,2.218443,4.721676,50.4000,0,1000.50,1025.50,370.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,12,2.154975,3.593742,52.0667,0,980.50,980.50,390.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,13,2.241493,3.746676,50.7333,0,780.50,805.50,265.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,14,2.114966,4.254786,50.0000,0,2470.50,2490.50,395.10,0.0
aguard,v10,16,3,worst,kill,-1.00,0,30.000,42061,15,2.307450,3.576778,53.2667,0,1450.50,1470.50,385.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,0,2.471037,5.206653,52.0000,0,1030.50,1050.50,390.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,1,2.097762,4.856889,45.7000,0,2030.50,2050.50,370.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,2,2.206695,4.435315,46.9000,0,1700.50,1720.50,370.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,3,2.062162,6.437128,47.3667,0,1935.50,1955.50,220.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,4,1.987312,3.874276,46.3333,0,760.50,770.50,325.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,5,2.076315,4.281091,44.2333,0,1000.50,1020.50,320.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,6,2.093007,4.431674,44.4667,0,785.50,805.50,395.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,7,2.061595,5.022400,43.6333,0,1590.50,1610.50,395.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,8,2.170944,6.129367,43.7667,0,1420.50,1435.50,250.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,9,2.160499,5.616702,42.0667,0,960.50,980.50,385.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,10,2.447769,4.518362,51.4667,0,1170.50,1190.50,330.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,11,2.376522,3.890792,53.0667,0,655.50,675.50,365.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,12,2.388472,4.153523,54.1333,0,740.50,760.50,325.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,13,2.050066,4.199239,44.0333,0,6490.50,6490.50,395.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,14,2.266273,5.470663,44.7333,0,1120.50,1140.50,365.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,15,2.247841,4.847137,44.8333,0,1120.50,1145.50,305.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,16,0.233715,2.543857,4.3333,0,1240.50,1260.50,400.10,0.0
aguard,v10,18,3,worst,kill,-1.00,0,30.000,57060,17,0.985175,4.702842,20.1333,0,625.50,645.50,395.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40473,0,0.021713,0.182268,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40473,1,0.043620,0.182268,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40473,2,0.042791,0.237033,0.0000,0,100.50,100.50,-1.00,0.0
