scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,0,6.499123,18.105085,67.4333,128,1215.50,1230.50,0.00,1955.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,1,6.618842,24.912457,65.3000,124,2680.50,2700.50,0.00,1830.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,2,7.599369,34.782201,63.8333,263,1230.50,1250.50,0.00,4095.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,3,6.516194,25.466728,64.8667,113,1895.50,1915.50,0.00,3335.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,4,6.204997,15.417560,65.1667,87,705.50,725.50,0.00,1885.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,5,5.777011,17.414019,61.0333,62,2230.50,2255.50,0.00,975.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,6,6.178407,17.595772,62.7000,92,1445.50,1465.50,0.00,1740.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,7,6.434552,32.725582,65.6333,80,2130.50,2155.50,0.00,1585.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,8,7.717090,27.020791,60.4667,174,1580.50,1600.50,0.00,3115.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,9,9.714184,37.850281,68.6667,317,1190.50,1210.50,0.00,4825.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,10,6.573482,17.111715,70.6333,202,980.50,980.50,0.00,3535.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,11,7.867103,25.737469,66.5333,205,1080.50,1105.50,0.00,3600.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,12,7.687118,41.599882,67.3667,103,980.50,980.50,0.00,1260.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,13,7.304424,30.482072,63.9333,94,1740.50,1765.50,0.00,1455.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,14,6.847668,19.900855,68.4333,162,1670.50,1690.50,0.00,2695.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42027,15,8.321875,42.926143,68.6000,210,1980.50,2000.50,0.00,3180.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,0,0.021714,0.181708,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,1,0.043462,0.181708,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,2,0.041815,0.239545,0.0000,0,110.50,115.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,3,0.074821,0.832764,0.0000,0,110.50,110.50,430.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,4,0.093312,0.864509,0.9333,0,150.50,160.50,320.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,5,0.013946,0.151911,0.0000,0,250.50,250.50,-1.00,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,6,1.283171,4.383166,40.3000,0,655.50,655.50,395.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,7,4.436753,8.593793,75.0333,0,2040.50,2040.50,145.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,8,5.448439,10.545359,76.1000,0,1740.50,1740.50,315.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,9,5.137846,7.515704,75.3333,0,1460.50,1460.50,235.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,10,3.490518,7.459366,67.2000,0,3680.50,3690.50,355.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,11,4.519247,6.799275,73.9333,0,2840.50,2840.50,270.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,12,2.803138,7.147335,52.5333,0,4490.50,4490.50,340.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,13,4.584771,7.530516,75.5000,0,6610.50,6610.50,225.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,14,0.148887,1.522926,2.5333,0,589.90,589.90,435.10,0.0
ttu,v10,16,3,worst,kill,-1.00,0,30.000,40483,15,1.253910,6.180573,20.5667,0,1220.50,1220.50,400.10,0.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,0,98.560444,583.382546,76.2667,1257,990.50,1010.50,0.00,15350.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,1,138.654493,1044.811537,74.4000,1165,3100.50,3120.50,0.00,14355.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,2,129.742671,976.316701,70.7667,1131,2120.50,2140.50,0.00,13830.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,3,126.127762,1127.437346,74.8000,1289,1385.50,1405.50,0.00,16090.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,4,101.591945,891.231618,72.8333,1209,1280.50,1300.50,0.00,15940.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,5,83.736708,496.655009,69.2333,1182,3459.90,3484.90,0.00,14815.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,6,148.484747,1481.405836,70.6000,1169,4020.50,4040.50,0.00,14400.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,7,116.073959,1281.037250,75.1000,1257,1890.50,1910.50,0.00,15325.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,8,128.415080,1194.639666,67.5333,1164,2390.50,2415.50,0.00,13960.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,9,102.993298,775.823077,73.1667,1221,1384.90,1404.90,0.00,14820.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,10,102.322503,634.190403,78.6333,1154,3560.50,3580.50,0.00,14210.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,11,128.019463,994.641199,74.0667,1223,2020.50,2040.50,0.00,15320.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,12,116.636856,676.498186,75.4000,1126,2480.50,2500.50,0.00,13800.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,13,142.277313,1606.324609,70.1000,1285,1740.50,1765.50,0.00,15805.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,14,122.851147,890.601268,76.3000,1240,1825.50,1845.50,0.00,15175.0
context,v10,16,3,worst,kill,-1.00,0,30.000,41982,15,107.437638,704.014701,74.6000,1246,1450.50,1470.50,0.00,15470.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,0,2.870480,5.007950,55.8333,0,970.50,990.50,305.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,1,2.889118,5.978248,57.7333,0,920.50,940.50,315.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,2,2.480407,6.591181,51.7000,0,2140.50,2160.50,260.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,3,2.749039,5.874705,55.9000,0,1070.50,1090.50,235.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,4,2.577796,4.774103,54.8667,0,900.50,925.50,280.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,5,2.416652,4.762798,50.3000,0,1035.50,1055.50,305.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,6,2.691432,5.259580,53.9000,0,1035.50,1055.50,315.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,7,2.784263,5.710503,55.1333,0,1225.50,1245.50,255.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,8,2.792660,5.414270,50.5667,0,3400.50,3420.50,260.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,9,2.930881,4.802003,55.6000,0,1160.50,1180.50,275.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,10,2.868459,4.381933,62.0000,0,980.50,980.50,310.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,11,2.781146,5.486818,55.9333,0,1080.50,1095.50,255.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,12,2.826307,4.772282,57.9333,0,980.50,980.50,310.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,13,2.878714,4.970819,55.3667,0,2125.50,2125.50,255.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,14,3.112552,7.042898,59.8667,0,1320.50,1345.50,315.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,42053,15,2.862105,5.967164,56.0333,0,1450.50,1470.50,245.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,0,0.021714,0.181708,0.0000,0,100.50,100.50,-1.00,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,1,0.043462,0.181708,0.0000,0,100.50,100.50,-1.00,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,2,0.041815,0.239545,0.0000,0,110.50,115.50,-1.00,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,3,0.074821,0.832764,0.0000,0,110.50,110.50,430.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,4,0.093312,0.864509,0.9333,0,150.50,160.50,320.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,5,0.013946,0.151911,0.0000,0,250.50,250.50,-1.00,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,6,1.283171,4.383166,40.3000,0,655.50,655.50,395.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,7,4.436753,8.593793,75.0333,0,2040.50,2040.50,145.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,8,5.448439,10.545359,76.1000,0,1740.50,1740.50,315.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,9,5.137846,7.515704,75.3333,0,1460.50,1460.50,235.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,10,3.490518,7.459366,67.2000,0,3680.50,3690.50,355.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,11,4.519247,6.799275,73.9333,0,2840.50,2840.50,270.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,12,2.803138,7.147335,52.5333,0,4490.50,4490.50,340.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,13,4.584771,7.530516,75.5000,0,6610.50,6610.50,225.10,0.0
hybrid,v10,16,3,worst,kill,-1.00,0,30.000,40483,14,0.148887,1.522926,2.5333,0,589.90,589.90,435.10,0.0
