scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,0,0.983110,2.874943,26.5000,0,1320.50,1340.50,330.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,1,0.833741,2.406047,22.8667,0,950.50,970.50,335.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,2,0.944372,3.756641,18.7000,0,1070.50,1095.50,165.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,3,0.803404,2.430301,22.3667,0,1550.50,1575.50,310.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,4,0.795146,4.650588,14.2333,0,690.50,710.50,185.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,5,0.721630,2.260570,15.7333,0,1050.50,1070.50,320.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,6,1.022163,4.310842,21.8000,0,1990.50,2010.50,160.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,7,0.916200,4.236670,20.6333,0,2300.50,2325.50,150.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,8,1.586788,6.975428,32.1333,0,1980.50,2000.50,0.00,10.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,9,1.019959,2.839951,27.8000,0,979.90,999.90,380.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,10,1.080453,4.090896,25.7667,0,1520.50,1540.50,185.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,11,1.028294,2.503024,28.9333,0,1580.50,1600.50,230.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,12,1.314302,3.657790,30.5667,0,1220.50,1240.50,250.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27033,13,1.238203,3.456258,32.9333,0,1520.50,1545.50,300.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,0,1.001404,2.874943,25.6667,0,900.50,920.50,330.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,1,0.955042,4.164334,22.0667,0,870.50,890.50,75.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,2,1.000556,3.461157,25.6000,0,1070.50,1095.50,210.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,3,0.842047,2.652486,22.9333,0,1060.50,1080.50,330.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,4,0.895133,3.926477,17.3667,0,940.50,960.50,115.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,5,0.703612,2.121005,16.4000,0,1050.50,1070.50,320.10,0.0
hybrid,v10,14,3,worst,kill,-1.00,0,30.000,27035,6,1.201583,5.987122,22.8000,0,890.50,915.50,125.10,0.0
