scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,0,0.022942,0.195651,0.0000,0,90.50,110.50,-1.00,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,1,0.040708,0.182515,0.0000,0,95.50,95.50,-1.00,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,2,0.073695,0.906970,0.5667,0,90.50,100.50,385.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,3,0.093550,0.852503,0.9333,0,100.50,100.50,320.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,4,0.031160,0.387281,0.0000,0,100.50,100.50,425.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,5,0.144221,2.120833,2.6333,0,100.50,100.50,430.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,6,0.588403,3.114608,14.8333,0,100.50,110.50,405.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,7,0.634003,3.162146,15.1333,0,110.50,110.50,400.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,8,1.197734,5.550226,41.6667,0,110.50,110.50,220.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,9,0.626688,2.701355,54.6667,0,165.50,165.50,390.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,10,4.415153,6.600613,71.8000,0,4180.50,4180.50,295.10,0.0
ttu,v10,12,3,worst,kill,-1.00,0,30.000,11992,11,0.896018,6.015691,14.1333,0,1070.50,1070.50,395.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,0,0.021639,0.182210,0.0000,0,90.50,110.50,-1.00,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,1,0.035319,0.182210,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,2,0.080653,0.943888,0.5667,0,100.50,100.50,385.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,3,0.033562,0.183416,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,4,0.045197,0.447907,0.0000,0,100.50,100.50,-1.00,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,5,0.027365,0.306135,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,6,0.262620,2.679819,5.4667,0,135.50,135.50,415.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,7,3.070046,8.655044,60.5333,0,165.50,165.50,150.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,8,2.044104,7.410301,44.4000,0,445.50,445.50,175.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,9,4.826581,12.235960,75.4667,0,3370.50,3380.50,305.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,10,2.505897,6.500476,45.0000,0,2990.50,2990.50,400.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,11,4.186646,7.343623,67.1000,0,2860.50,2870.50,300.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,12,4.515788,6.556734,72.2000,0,1930.50,1930.50,395.10,0.0
ttu,v10,14,3,worst,kill,-1.00,0,30.000,25483,13,1.105149,6.347000,17.6000,0,1470.50,1470.50,395.10,0.0
